"groups","f_year","year","abund_ranks","segment_mean","reserve","reserve_without_nj"
"[440,450)","2006",2006,"[0.1,0.2)",0.1695,"Y","Y"
"[450,460)","2006",2006,"[0.1,0.2)",0.14,"Y","Y"
"[460,470)","2006",2006,"[0.1,0.2)",0.14,"Y","Y"
"[470,480)","2006",2006,"[0.1,0.2)",0.19,"Y","Y"
"[480,490)","2006",2006,"[0.1,0.2)",0.133,"Y","Y"
"[490,500)","2006",2006,"[0.05,0.1)",0.065,"Y","Y"
"[500,510)","2006",2006,"[0.05,0.1)",0.066,"Y","Y"
"[510,520)","2006",2006,"[0.05,0.1)",0.07,"Y","Y"
"[520,530)","2006",2006,"[0,0.05)",0.022,"Y","Y"
"[530,540)","2006",2006,"[0,0.05)",0.012,"N","N"
"[540,550)","2006",2006,"[0,0.05)",0.01,"N","N"
"[550,560)","2006",2006,"[0.05,0.1)",0.0695,"N","N"
"[560,570)","2006",2006,"[0.1,0.2)",0.102,"N","N"
"[570,580)","2006",2006,"[0.1,0.2)",0.108,"N","N"
"[580,590)","2006",2006,"[0.1,0.2)",0.105,"N","N"
"[590,600)","2006",2006,"[0.1,0.2)",0.105,"N","N"
"[600,610)","2006",2006,"[0,0.05)",0.0445,"N","N"
"[610,620)","2006",2006,"[0,0.05)",0.01,"N","N"
"[620,630)","2006",2006,"[0,0.05)",0.011,"N","N"
"[630,640)","2006",2006,"[0,0.05)",0.037,"N","N"
"[640,650)","2006",2006,"[0,0.05)",0.045,"N","N"
"[650,660)","2006",2006,"[0,0.05)",0.047,"N","N"
"[660,670)","2006",2006,"[0.05,0.1)",0.067,"N","N"
"[670,680)","2006",2006,"[0.05,0.1)",0.095,"N","N"
"[680,690)","2006",2006,"[0.1,0.2)",0.1215,"N","N"
"[690,700)","2006",2006,"[0.1,0.2)",0.154,"N","N"
"[700,710)","2006",2006,"[0.2,1)",0.201,"N","N"
"[710,720)","2006",2006,"[0.2,1)",0.245,"N","N"
"[720,730)","2006",2006,"[0.2,1)",0.283,"N","N"
"[730,740)","2006",2006,"[0.2,1)",0.399,"N","N"
"[740,750)","2006",2006,"[0.2,1)",0.42,"N","N"
"[750,760)","2006",2006,"[0.2,1)",0.447,"N","N"
"[760,770)","2006",2006,"[0.2,1)",0.459,"N","N"
"[770,780)","2006",2006,"[0.2,1)",0.4925,"N","N"
"[780,790)","2006",2006,"[0.2,1)",0.401,"N","N"
"[790,800)","2006",2006,"[0.2,1)",0.399,"N","N"
"[800,810)","2006",2006,"[0.2,1)",0.367,"N","N"
"[810,820)","2006",2006,"[0.2,1)",0.313,"N","N"
"[820,830)","2006",2006,"[0.2,1)",0.228,"N","N"
"[830,840)","2006",2006,"[0.1,0.2)",0.1565,"N","N"
"[840,850)","2006",2006,"[0.1,0.2)",0.1445,"N","N"
"[850,860)","2006",2006,"[0.2,1)",0.2615,"N","N"
"[860,870)","2006",2006,"[0.2,1)",0.503,"N","N"
"[870,880)","2006",2006,"[0.2,1)",0.592,"Y","Y"
"[880,890)","2006",2006,"[0.2,1)",0.629,"Y","Y"
"[890,900)","2006",2006,"[0.2,1)",0.77,"Y","Y"
"[900,910)","2006",2006,"[0.2,1)",0.7015,"Y","Y"
"[910,920)","2006",2006,"[0.2,1)",0.459,"Y","Y"
"[920,930)","2006",2006,"[0.2,1)",0.3695,"Y","Y"
"[930,940)","2006",2006,"[0.2,1)",0.37,"Y","Y"
"[940,950)","2006",2006,"[0.2,1)",0.235,"Y","Y"
"[950,960)","2006",2006,"[0.1,0.2)",0.189,"Y","Y"
"[960,970)","2006",2006,"[0.2,1)",0.2145,"Y","Y"
"[970,980)","2006",2006,"[0.2,1)",0.261,"Y","Y"
"[980,990)","2006",2006,"[0.2,1)",0.37,"Y","Y"
"[990,1000)","2006",2006,"[0.2,1)",0.412,"Y","Y"
"[1000,1010)","2006",2006,"[0.2,1)",0.426,"Y","Y"
"[1010,1020)","2006",2006,"[0.2,1)",0.4335,"Y","Y"
"[1020,1030)","2006",2006,"[0.2,1)",0.405,"Y","Y"
"[1030,1040)","2006",2006,"[0.2,1)",0.2685,"Y","Y"
"[1040,1050)","2006",2006,"[0.1,0.2)",0.1815,"N","N"
"[1050,1060)","2006",2006,"[0.1,0.2)",0.1625,"N","N"
"[1060,1070)","2006",2006,"[0.1,0.2)",0.149,"N","N"
"[1070,1080)","2006",2006,"[0.1,0.2)",0.112,"N","N"
"[1080,1090)","2006",2006,"[0.1,0.2)",0.1115,"N","N"
"[1090,1100)","2006",2006,"[0.1,0.2)",0.1235,"Y","Y"
"[1100,1110)","2006",2006,"[0.1,0.2)",0.108,"Y","Y"
"[1110,1120)","2006",2006,"[0.05,0.1)",0.085,"Y","Y"
"[1120,1130)","2006",2006,"[0.1,0.2)",0.118,"Y","Y"
"[1130,1140)","2006",2006,"[0.1,0.2)",0.154,"Y","Y"
"[1140,1150)","2006",2006,"[0.1,0.2)",0.1405,"Y","Y"
"[1150,1160)","2006",2006,"[0.1,0.2)",0.1145,"N","N"
"[1160,1170)","2006",2006,"[0.1,0.2)",0.103,"N","N"
"[1170,1180)","2006",2006,"[0.05,0.1)",0.098,"N","N"
"[1180,1190)","2006",2006,"[0.1,0.2)",0.1015,"N","N"
"[1190,1200)","2006",2006,"[0.1,0.2)",0.1415,"N","N"
"[1200,1210)","2006",2006,"[0.1,0.2)",0.1655,"N","N"
"[1210,1220)","2006",2006,"[0.2,1)",0.201,"N","N"
"[1220,1230)","2006",2006,"[0.2,1)",0.252,"N","N"
"[1230,1240)","2006",2006,"[0.2,1)",0.214,"N","N"
"[1240,1250)","2006",2006,"[0.1,0.2)",0.1885,"N","N"
"[1250,1260)","2006",2006,"[0.1,0.2)",0.198,"N","N"
"[1260,1270)","2006",2006,"[0.2,1)",0.2025,"Y","N"
"[1270,1280)","2006",2006,"[0.2,1)",0.2095,"Y","N"
"[1280,1290)","2006",2006,"[0.2,1)",0.3705,"Y","N"
"[1290,1300)","2006",2006,"[0.2,1)",0.35,"Y","N"
"[1300,1310)","2006",2006,"[0.2,1)",0.3855,"Y","N"
"[1310,1320)","2006",2006,"[0.2,1)",0.3885,"N","N"
"[1320,1330)","2006",2006,"[0.2,1)",0.2985,"N","N"
"[1330,1340)","2006",2006,"[0.1,0.2)",0.127,"N","N"
"[1340,1350)","2006",2006,"[0.1,0.2)",0.1425,"N","N"
"[1350,1360)","2006",2006,"[0.1,0.2)",0.13,"N","N"
"[1360,1370)","2006",2006,"[0.1,0.2)",0.143,"N","N"
"[1370,1380)","2006",2006,"[0.1,0.2)",0.178,"N","N"
"[1380,1390)","2006",2006,"[0.1,0.2)",0.1875,"Y","Y"
"[1390,1400)","2006",2006,"[0.2,1)",0.201,"Y","Y"
"[1400,1410)","2006",2006,"[0.1,0.2)",0.166,"Y","Y"
"[1410,1420)","2006",2006,"[0.1,0.2)",0.1045,"N","N"
"[1420,1430)","2006",2006,"[0.05,0.1)",0.077,"N","N"
"[1430,1440)","2006",2006,"[0.05,0.1)",0.076,"N","N"
"[1440,1450)","2006",2006,"[0.05,0.1)",0.0565,"N","N"
"[1450,1460)","2006",2006,"[0.05,0.1)",0.052,"N","N"
"[1460,1470)","2006",2006,"[0.05,0.1)",0.088,"N","N"
"[1470,1480)","2006",2006,"[0.05,0.1)",0.086,"N","N"
"[1480,1490)","2006",2006,"[0.05,0.1)",0.0805,"N","N"
"[1490,1500)","2006",2006,"[0.05,0.1)",0.07,"N","N"
"[0,10)","2017",2017,"[0.05,0.1)",0.095,"N","N"
"[10,20)","2017",2017,"[0.05,0.1)",0.095,"N","N"
"[20,30)","2017",2017,"[0.05,0.1)",0.073,"N","N"
"[30,40)","2017",2017,"[0,0.05)",0.0165,"N","N"
"[40,50)","2017",2017,"[0,0.05)",0.005,"N","N"
"[50,60)","2017",2017,"[0,0.05)",0.005,"N","N"
"[60,70)","2017",2017,"[0,0.05)",0.005,"N","N"
"[70,80)","2017",2017,"[0,0.05)",0.003,"N","N"
"[80,90)","2017",2017,"[0,0.05)",0,"N","N"
"[90,100)","2017",2017,"[0,0.05)",0,"N","N"
"[100,110)","2017",2017,"[0,0.05)",0,"N","N"
"[110,120)","2017",2017,"[0,0.05)",0,"N","N"
"[120,130)","2017",2017,"[0,0.05)",0,"N","N"
"[130,140)","2017",2017,"[0,0.05)",0,"N","N"
"[140,150)","2017",2017,"[0,0.05)",0.009,"N","N"
"[150,160)","2017",2017,"[0,0.05)",0.01,"N","N"
"[160,170)","2017",2017,"[0,0.05)",0.01,"N","N"
"[170,180)","2017",2017,"[0,0.05)",0.01,"N","N"
"[180,190)","2017",2017,"[0,0.05)",0.0385,"N","N"
"[190,200)","2017",2017,"[0,0.05)",0.036,"N","N"
"[200,210)","2017",2017,"[0,0.05)",0.035,"N","N"
"[210,220)","2017",2017,"[0,0.05)",0.035,"Y","Y"
"[220,230)","2017",2017,"[0,0.05)",0.035,"Y","Y"
"[230,240)","2017",2017,"[0,0.05)",0.0065,"Y","Y"
"[240,250)","2017",2017,"[0,0.05)",0.001,"Y","Y"
"[250,260)","2017",2017,"[0,0.05)",0.0205,"Y","Y"
"[260,270)","2017",2017,"[0,0.05)",0.046,"Y","Y"
"[270,280)","2017",2017,"[0.05,0.1)",0.05,"Y","Y"
"[280,290)","2017",2017,"[0.05,0.1)",0.068,"Y","Y"
"[290,300)","2017",2017,"[0.05,0.1)",0.072,"Y","Y"
"[300,310)","2017",2017,"[0.05,0.1)",0.0975,"N","N"
"[310,320)","2017",2017,"[0.05,0.1)",0.074,"N","N"
"[320,330)","2017",2017,"[0.05,0.1)",0.09,"N","N"
"[330,340)","2017",2017,"[0.1,0.2)",0.186,"N","N"
"[340,350)","2017",2017,"[0.2,1)",0.3565,"N","N"
"[350,360)","2017",2017,"[0.2,1)",0.473,"N","N"
"[360,370)","2017",2017,"[0.2,1)",0.495,"N","N"
"[370,380)","2017",2017,"[0.2,1)",0.478,"N","N"
"[380,390)","2017",2017,"[0.2,1)",0.367,"N","N"
"[390,400)","2017",2017,"[0.1,0.2)",0.198,"N","N"
"[400,410)","2017",2017,"[0,0.05)",0.039,"Y","Y"
"[410,420)","2017",2017,"[0,0.05)",0.015,"Y","Y"
"[420,430)","2017",2017,"[0,0.05)",0.012,"Y","Y"
"[430,440)","2017",2017,"[0,0.05)",0.036,"Y","Y"
"[440,450)","2017",2017,"[0.05,0.1)",0.085,"Y","Y"
"[450,460)","2017",2017,"[0.1,0.2)",0.114,"Y","Y"
"[460,470)","2017",2017,"[0.1,0.2)",0.125,"Y","Y"
"[470,480)","2017",2017,"[0.1,0.2)",0.125,"Y","Y"
"[480,490)","2017",2017,"[0.1,0.2)",0.114,"Y","Y"
"[490,500)","2017",2017,"[0.05,0.1)",0.0825,"Y","Y"
"[500,510)","2017",2017,"[0.05,0.1)",0.053,"Y","Y"
"[510,520)","2017",2017,"[0.05,0.1)",0.05,"Y","Y"
"[520,530)","2017",2017,"[0.05,0.1)",0.05,"Y","Y"
"[530,540)","2017",2017,"[0,0.05)",0.034,"N","N"
"[540,550)","2017",2017,"[0,0.05)",0.01,"N","N"
"[550,560)","2017",2017,"[0,0.05)",0.008,"N","N"
"[560,570)","2017",2017,"[0,0.05)",0,"N","N"
"[570,580)","2017",2017,"[0,0.05)",0,"N","N"
"[580,590)","2017",2017,"[0,0.05)",0,"N","N"
"[590,600)","2017",2017,"[0,0.05)",0,"N","N"
"[600,610)","2017",2017,"[0,0.05)",0,"N","N"
"[610,620)","2017",2017,"[0,0.05)",0,"N","N"
"[620,630)","2017",2017,"[0,0.05)",0.0085,"N","N"
"[630,640)","2017",2017,"[0,0.05)",0.035,"N","N"
"[640,650)","2017",2017,"[0,0.05)",0.04,"N","N"
"[650,660)","2017",2017,"[0,0.05)",0.04,"N","N"
"[660,670)","2017",2017,"[0.05,0.1)",0.0785,"N","N"
"[670,680)","2017",2017,"[0.1,0.2)",0.1365,"N","N"
"[680,690)","2017",2017,"[0.1,0.2)",0.1425,"N","N"
"[690,700)","2017",2017,"[0.1,0.2)",0.1865,"N","N"
"[700,710)","2017",2017,"[0.1,0.2)",0.195,"N","N"
"[710,720)","2017",2017,"[0.1,0.2)",0.1765,"N","N"
"[720,730)","2017",2017,"[0.1,0.2)",0.1585,"N","N"
"[730,740)","2017",2017,"[0.1,0.2)",0.1425,"N","N"
"[740,750)","2017",2017,"[0.1,0.2)",0.1685,"N","N"
"[750,760)","2017",2017,"[0.2,1)",0.21,"N","N"
"[760,770)","2017",2017,"[0.2,1)",0.215,"N","N"
"[770,780)","2017",2017,"[0.1,0.2)",0.1855,"N","N"
"[780,790)","2017",2017,"[0.1,0.2)",0.191,"N","N"
"[790,800)","2017",2017,"[0.1,0.2)",0.172,"N","N"
"[800,810)","2017",2017,"[0.1,0.2)",0.13,"N","N"
"[810,820)","2017",2017,"[0.1,0.2)",0.105,"N","N"
"[820,830)","2017",2017,"[0.05,0.1)",0.087,"N","N"
"[830,840)","2017",2017,"[0.05,0.1)",0.092,"N","N"
"[840,850)","2017",2017,"[0.05,0.1)",0.083,"N","N"
"[850,860)","2017",2017,"[0.1,0.2)",0.145,"N","N"
"[860,870)","2017",2017,"[0.2,1)",0.32,"N","N"
"[870,880)","2017",2017,"[0.2,1)",0.376,"Y","Y"
"[880,890)","2017",2017,"[0.2,1)",0.3765,"Y","Y"
"[890,900)","2017",2017,"[0.2,1)",0.4,"Y","Y"
"[900,910)","2017",2017,"[0.2,1)",0.355,"Y","Y"
"[910,920)","2017",2017,"[0.1,0.2)",0.183,"Y","Y"
"[920,930)","2017",2017,"[0.1,0.2)",0.133,"Y","Y"
"[930,940)","2017",2017,"[0.1,0.2)",0.1085,"Y","Y"
"[940,950)","2017",2017,"[0,0.05)",0.04,"Y","Y"
"[950,960)","2017",2017,"[0,0.05)",0.0375,"Y","Y"
"[960,970)","2017",2017,"[0,0.05)",0.047,"Y","Y"
"[970,980)","2017",2017,"[0.05,0.1)",0.0995,"Y","Y"
"[980,990)","2017",2017,"[0.1,0.2)",0.187,"Y","Y"
"[990,1000)","2017",2017,"[0.1,0.2)",0.1905,"Y","Y"
"[1000,1010)","2017",2017,"[0.1,0.2)",0.1855,"Y","Y"
"[1010,1020)","2017",2017,"[0.2,1)",0.2215,"Y","Y"
"[1020,1030)","2017",2017,"[0.1,0.2)",0.1795,"Y","Y"
"[1030,1040)","2017",2017,"[0.05,0.1)",0.093,"Y","Y"
"[1040,1050)","2017",2017,"[0.1,0.2)",0.1055,"N","N"
"[1050,1060)","2017",2017,"[0.1,0.2)",0.118,"N","N"
"[1060,1070)","2017",2017,"[0.05,0.1)",0.0865,"N","N"
"[1070,1080)","2017",2017,"[0.05,0.1)",0.071,"N","N"
"[1080,1090)","2017",2017,"[0.05,0.1)",0.0715,"N","N"
"[1090,1100)","2017",2017,"[0.05,0.1)",0.062,"Y","Y"
"[1100,1110)","2017",2017,"[0,0.05)",0.039,"Y","Y"
"[1110,1120)","2017",2017,"[0,0.05)",0.0225,"Y","Y"
"[1120,1130)","2017",2017,"[0,0.05)",0.03,"Y","Y"
"[1130,1140)","2017",2017,"[0,0.05)",0.041,"Y","Y"
"[1140,1150)","2017",2017,"[0,0.05)",0.048,"Y","Y"
"[1150,1160)","2017",2017,"[0.05,0.1)",0.076,"N","N"
"[1160,1170)","2017",2017,"[0.1,0.2)",0.107,"N","N"
"[1170,1180)","2017",2017,"[0.1,0.2)",0.1125,"N","N"
"[1180,1190)","2017",2017,"[0.1,0.2)",0.1235,"N","N"
"[1190,1200)","2017",2017,"[0.1,0.2)",0.147,"N","N"
"[1200,1210)","2017",2017,"[0.1,0.2)",0.124,"N","N"
"[1210,1220)","2017",2017,"[0.05,0.1)",0.0945,"N","N"
"[1220,1230)","2017",2017,"[0.05,0.1)",0.0875,"N","N"
"[1230,1240)","2017",2017,"[0.05,0.1)",0.072,"N","N"
"[1240,1250)","2017",2017,"[0.05,0.1)",0.0715,"N","N"
"[1250,1260)","2017",2017,"[0.1,0.2)",0.1585,"N","N"
"[1260,1270)","2017",2017,"[0.2,1)",0.2315,"Y","N"
"[1270,1280)","2017",2017,"[0.2,1)",0.2925,"Y","N"
"[1280,1290)","2017",2017,"[0.2,1)",0.3745,"Y","N"
"[1290,1300)","2017",2017,"[0.2,1)",0.3455,"Y","N"
"[1300,1310)","2017",2017,"[0.2,1)",0.2465,"Y","N"
"[1310,1320)","2017",2017,"[0.1,0.2)",0.1715,"N","N"
"[1320,1330)","2017",2017,"[0.1,0.2)",0.106,"N","N"
"[1330,1340)","2017",2017,"[0,0.05)",0.0145,"N","N"
"[1340,1350)","2017",2017,"[0,0.05)",0.005,"N","N"
"[1350,1360)","2017",2017,"[0,0.05)",0.007,"N","N"
"[1360,1370)","2017",2017,"[0,0.05)",0.015,"N","N"
"[1370,1380)","2017",2017,"[0,0.05)",0.0165,"N","N"
"[1380,1390)","2017",2017,"[0,0.05)",0.0165,"Y","Y"
"[1390,1400)","2017",2017,"[0.05,0.1)",0.067,"Y","Y"
"[1400,1410)","2017",2017,"[0.05,0.1)",0.088,"Y","Y"
"[1410,1420)","2017",2017,"[0.05,0.1)",0.083,"N","N"
"[1420,1430)","2017",2017,"[0.05,0.1)",0.094,"N","N"
"[1430,1440)","2017",2017,"[0.05,0.1)",0.0935,"N","N"
"[1440,1450)","2017",2017,"[0,0.05)",0.043,"N","N"
"[1450,1460)","2017",2017,"[0,0.05)",0.02,"N","N"
"[1460,1470)","2017",2017,"[0,0.05)",0.017,"N","N"
"[1470,1480)","2017",2017,"[0,0.05)",0.001,"N","N"
"[1480,1490)","2017",2017,"[0,0.05)",0.012,"N","N"
"[1490,1500)","2017",2017,"[0,0.05)",0.015,"N","N"
